Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,133780,21,0.7259495650715927,0.8014600750062462,0.7394639630741113,0.7991555787363627,0.4815776030842385
1,133780,54,0.47335786310148054,0.8753553465915854,0.48359925746937776,0.8725966794957754,0.6555935238698888
2,133780,99,0.5966305474041549,0.8332688523136149,0.6065966937066279,0.8310148194210429,0.5289086357740668
3,267540,8,0.610539818500261,0.8339248767911592,0.6157181025148952,0.8307288600363004,0.593683228694532
4,267540,45,0.36534128450278963,0.9025887735986968,0.3724322319782725,0.9004861309673972,0.7193357764171429
5,267540,99,0.485593432300227,0.8646066376422159,0.49774089738994565,0.8604854581197595,0.6076282385968854
6,535060,15,0.5821374870372898,0.8551026930486018,0.6038666972119577,0.8513515786710834,0.6212384106709053
7,535060,40,0.3305896981488097,0.9126982791822559,0.3432782025052997,0.9098050429850331,0.7488383195054181
8,535060,99,0.3915358693799743,0.8894851048788104,0.4023375898445723,0.8861040555840676,0.6746782400169056
9,150292,26,0.4676666143712577,0.8790559975907898,0.4726764835210105,0.8772393143682954,0.6541683564223335
10,150292,37,0.3280594598574422,0.9100910023497233,0.3369237607661969,0.9075846523821016,0.7411548940666027
11,150292,99,0.4007485515927063,0.8865582263638737,0.41147219733687856,0.8845060471910976,0.666011473457624
12,333332,17,0.39837573058037834,0.8940772763058408,0.4093971820735384,0.8890309340669204,0.6980509795718974
13,333332,31,0.2831153387750584,0.9229087116968987,0.2967979723720824,0.9194267355121795,0.7887512606861342
14,333332,98,0.32724519430920285,0.9073659775385405,0.3365311613611105,0.9052296926687339,0.732351059944347
15,797716,32,0.530484211115194,0.8560278558151967,0.5416013097809783,0.8526468065114303,0.619259433755192
16,797716,46,0.25900185431278505,0.9360964860847398,0.27069668067833297,0.9346835102266406,0.8213685963041633
17,797716,71,0.30980683326837494,0.9141448973350087,0.3211534123185782,0.9110498073889142,0.7515266932571012
18,166804,13,0.4149533150669271,0.8822015509011617,0.4220298340910969,0.8822520143386303,0.6681618034907488
19,166804,44,0.2949948447744516,0.9216471261000717,0.307531245530186,0.9191575972592232,0.7799355644714134
20,166804,98,0.3757894355124141,0.8976433581645303,0.39127103892791826,0.8930680078793122,0.6912576370218682
21,399124,15,0.38420718996139286,0.8901411293774096,0.39191905633195356,0.8883749095773446,0.6868980219558607
22,399124,26,0.2582893643742721,0.9309155747223491,0.26437401011560874,0.9291325337754585,0.8088644269798196
23,399124,86,0.3181184525455638,0.9159615805424638,0.3263714260293123,0.9135729785103797,0.7528374096079389
24,1060372,16,1.8944345310230881,0.47805682181666326,1.8979842287551367,0.4763410654500563,0.05
25,1060372,15,0.23722465748824945,0.9314706723690714,0.24789261058047854,0.9289306800696994,0.8153552242999581
26,1060372,50,0.2952028693034953,0.917256808384816,0.3065427688115034,0.914716816085444,0.7590233673448419
