"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,333,0.998694974670175,0.786569459400279,1.08277241540032,1,0,333,0.999577234536097,0.494647211767261,0.611660466187465,1,0
2,1,1,3,332,0.99996547531635,0.10753707763169,0.167045495029111,1,0,332,0.999572834096073,0.495842643653901,0.612557450853783,1,0
3,1,1,4,331,0.999968039566684,0.0982587677640575,0.159566167972607,1,0,331,0.999568211671067,0.497117004011169,0.613468572019188,1,0
4,1,1,5,330,0.999964713052938,0.100899173801613,0.166865381404963,1,0,330,0.999563368078907,0.498467211404532,0.614390813725074,1,0
5,1,1,6,329,0.999962267284215,0.100527558329252,0.17165538196513,1,0,329,0.999558302762525,0.4998910324477,0.61532160259603,1,0
6,1,1,7,328,0.999966042143,0.0962257567746389,0.162186030474151,1,0,328,0.999553010947609,0.50138999091713,0.61625871134649,1,0
7,1,1,8,327,0.999967367407266,0.0939493741870585,0.158283657267075,1,0,327,0.999547498866832,0.502891833257,0.617200021454851,1,0
8,1,1,9,326,0.999969575444342,0.091327759737633,0.152292294643887,1,0,326,0.999541753556449,0.504337706107466,0.618143454620868,1,0
9,1,1,10,325,0.999971091430282,0.0883565038676684,0.147823480845167,1,0,325,0.999535773632382,0.505729717768664,0.619087011675664,1,0
10,1,1,11,324,0.999972647217165,0.0850254485073143,0.143086271182657,1,0,324,0.99952955409262,0.507066333912391,0.620028514497767,1,0
